epoch,rollout_time,msl,u10,v10,t2m,z1000,z925,z850,z700,z600,z500,z400,z300,z250,z200,z150,z100,z50,q1000,q925,q850,q700,q600,q500,q400,q300,q250,q200,q150,q100,q50,t1000,t925,t850,t700,t600,t500,t400,t300,t250,t200,t150,t100,t50,u1000,u925,u850,u700,u600,u500,u400,u300,u250,u200,u150,u100,u50,v1000,v925,v850,v700,v600,v500,v400,v300,v250,v200,v150,v100,v50
0.0,0.0,89.37621307373047,1.1505094766616821,1.1490895748138428,0.9220950603485107,0.0,0.0,66.35552215576172,0.0,0.0,86.88249206542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833565950393677,0.0,0.0,0.3693888187408447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990861713886261,0.0,0.0,0.7516144514083862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,73.05748748779297,0.9803935289382935,0.9822880029678345,0.7910037636756897,0.0,0.0,53.3039665222168,0.0,0.0,67.0733413696289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869473934173584,0.0,0.0,0.33104604482650757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8735024929046631,0.0,0.0,0.6482996940612793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,67.22085571289062,0.9191465377807617,0.9280054569244385,0.7680090665817261,0.0,0.0,48.84525680541992,0.0,0.0,61.148033142089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484786152839661,0.0,0.0,0.31656429171562195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305953741073608,0.0,0.0,0.6120876669883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,64.43476104736328,0.8945599794387817,0.9019429087638855,0.7523279190063477,0.0,0.0,46.83265686035156,0.0,0.0,59.119266510009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305792808532715,0.0,0.0,0.3089880049228668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136626482009888,0.0,0.0,0.5928280353546143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,64.25192260742188,0.8805129528045654,0.885755717754364,0.7334734201431274,0.0,0.0,46.59160232543945,0.0,0.0,56.59061050415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8167728781700134,0.0,0.0,0.3035227060317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002635836601257,0.0,0.0,0.5811821818351746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,62.85609817504883,0.8713130354881287,0.8780114054679871,0.7312833070755005,0.0,0.0,45.813812255859375,0.0,0.0,56.95746994018555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109654188156128,0.0,0.0,0.3007644712924957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7930394411087036,0.0,0.0,0.5768755674362183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,62.425716400146484,0.8598584532737732,0.8668797016143799,0.7279720902442932,0.0,0.0,45.64402770996094,0.0,0.0,56.06756591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8028680086135864,0.0,0.0,0.29829466342926025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7851473689079285,0.0,0.0,0.5710004568099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,62.3604850769043,0.858136773109436,0.8693405985832214,0.7252592444419861,0.0,0.0,45.266632080078125,0.0,0.0,56.28034210205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020203113555908,0.0,0.0,0.29734867811203003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7844469547271729,0.0,0.0,0.5716766119003296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,60.35711669921875,0.8524713516235352,0.8577703833580017,0.7183303236961365,0.0,0.0,43.64728546142578,0.0,0.0,54.15117263793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7961165308952332,0.0,0.0,0.295437753200531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7809068560600281,0.0,0.0,0.5714204907417297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,60.93978500366211,0.8472490906715393,0.8521393537521362,0.7205886244773865,0.0,0.0,44.31433868408203,0.0,0.0,55.4615364074707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7904244065284729,0.0,0.0,0.2945900559425354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7764779925346375,0.0,0.0,0.566312849521637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
